"","Code","ProjectBase","n"
"2057","BRASSIAF","Nevada SNDO",4
"2058","LOASACAF","Nevada SNDO",1
"2059","BORAGIAF","California NorCal",1
"2060","BORAGIAF","Nevada SNDO",2
"2061","POLYGOAF","Nevada SNDO",4
"2062","ONAGRAAF","Nevada SNDO",1
"2063","CARYOPAF","Nevada SNDO",1
"2064","POACEAPG","Nevada EKDO",4
"2065","POACEAPG","Nevada SNDO",2
"2066","POACEAPG","Nevada WMDO",2
"2067","SSSH","New Mexico RGdNNM",1
"2068","PG20","New Mexico RGdNNM",1
"2069","SACYH2","Arizona Agua Fria NM",1
"2070","UNK CRYPT1","Nevada SNDO",1
"2071","AAGG2","Nevada EKDO",1
"2072","UNKNOWN LOW SAGE THING","Nevada EYDO",1
"2073","AF8","Jackson Mountains",1
"2074","AF9","Jackson Mountains",1
"2075","AF202","California NorCal",1
"2076","AF209","California NorCal",1
"2077","PF256","California NorCal",1
"2078","PF257","California NorCal",1
"2079","AF179","Nevada Winnemucca ESR",1
"2080","SISA7","Colorado White River FO",1
"2081","CLSC2","Colorado San Luis Valley FO 2015 GUSG Ha",2
"2082","OENOTPF","Wyoming Lander FO",1
"2083","RUMEXPF","Wyoming Lander FO",1
"2084","AMBROAF","Wyoming Lander FO",1
"2085","SPOROPG","Wyoming Lander FO",1
"2086","POLYGAF","Utah Grand Staircase Escalante NM",1
"2087","LATHYPF","Utah Grand Staircase Escalante NM",1
"2088","GUSU2","Colorado Tres Rios FO",1
"2089","SIHY","Colorado Grand Junction FO",2
"2090","COPAR","California Applegate FO",4
"2091","ARLUSS","Colorado Uncompagre FO",1
"2092","ATCAZ","Colorado Tres Rios FO",1
"2093","ALOPEPG","Washington Wenatchee  FO",2
"2094","LITHO2PF","Washington Wenatchee  FO",2
"2095","SAXIFPF","Washington Wenatchee  FO",2
"2096","ANTENPCOPA3","Washington Wenatchee  FO",1
"2097","CONVOPF","Washington Wenatchee  FO",1
"2098","GAYOPAF","Washington Wenatchee  FO",8
"2099","SELAGPF","Washington Wenatchee  FO",4
"2100","WOODSPF","Washington Wenatchee  FO",5
"2101","POAPG","California NorCal",1
"2102","POAPG","Washington Wenatchee  FO",11
"2103","SOLIDPF","Washington Wenatchee  FO",1
"2104","STEPHAF","Washington Wenatchee  FO",1
"2105","SAMBUSH","Washington Wenatchee  FO",1
"2106","CRAF08","Washington Wenatchee  FO",1
"2107","HACKEAF","Washington Wenatchee  FO",2
"2108","AMLA6","Colorado Gunnison FO",6
"2109","CARSIC","Colorado Gunnison FO",1
"2110","SEDUMPF","Washington Wenatchee  FO",2
"2111","CAREXPG","Nevada EKDO",2
"2112","CAREXPG","Washington Wenatchee  FO",2
"2113","CENTAAF","Washington Wenatchee  FO",1
"2114","RUMEXAF","Washington Wenatchee  FO",2
"2115","FILAGAF","Washington Wenatchee  FO",1
"2116","GAILLPF","Washington Wenatchee  FO",1
"2117","LATHYAF","Washington Wenatchee  FO",3
"2118","MYOSOAF","Washington Wenatchee  FO",3
"2119","TRISEPG","Washington Wenatchee  FO",1
"2120","ARTEMAF","Washington Wenatchee  FO",1
"2121","POTENPF","Nevada EKDO",1
"2122","POTENPF","Nevada WMDO",1
"2123","POTENPF","Washington Wenatchee  FO",1
"2124","PAVIM2","Colorado Gunnison FO",1
"2125","TRPR","Colorado Gunnison FO",2
"2126","ERYSIAF","Washington Wenatchee  FO",1
"2127","PVUMI","Washington Wenatchee  FO",1
"2128","AMARAAF","Washington Wenatchee  FO",2
"2129","COMANPF","Washington Wenatchee  FO",1
"2130","OROBAPF","Washington Wenatchee  FO",1
"2131","BALSAPF","Washington Wenatchee  FO",1
"2132","EPILOPF","Washington Wenatchee  FO",1
"2133","DELPHDRVE2","Washington Wenatchee  FO",1
"2134","ASTERA","Nevada CCDO",2
"2135","ASTERA","Nevada EKDO",1
"2136","ASTRASH","California NorCal",2
"2137","ASTRASH","Nevada EKDO",1
"2138","APIACE","Nevada EKDO",1
"2139","CACTAC","Nevada EKDO",1
"2140","BRASSPF","Nevada WMDO",2
"2141","AGROPF","Nevada WMDO",1
"2142","FUNGI","Alaska NPR-A",2
"2143","2LV","Alaska NPR-A",2
"2144","2LW1","Alaska NPR-A",2
"2145","CAREX 1","Alaska NPR-A",4
"2146","MOSS 1","Alaska NPR-A",2
"2147","MOSS 2","Alaska NPR-A",2
"2148","MOSS 4","Alaska NPR-A",2
"2149","MOSS2","Alaska NPR-A",2
"2150","MOSS3","Alaska NPR-A",2
"2151","EPLA2","Alaska NPR-A",2
"2152","EQUIS 1","Alaska NPR-A",2
"2153","POA 1","Alaska NPR-A",4
"2154","POA 2","Alaska NPR-A",2
"2155","POA 3","Alaska NPR-A",2
"2156","POA 4","Alaska NPR-A",2
"2157","STELLARIA 1","Alaska NPR-A",2
"2158","2LC","Alaska NPR-A",4
"2159","2LW","Alaska NPR-A",4
"2160","BRYORIA","Alaska NPR-A",2
"2161","NEPHROMA","Alaska NPR-A",2
"2162","SMPO","Alaska NPR-A",4
"2163","POSUB","Alaska NPR-A",9
"2164","AF527","California NorCal",2
"2165","HACY2","Colorado Gunnison FO",1
"2166","JUARA4","Colorado Gunnison FO",1
"2167","OECAIO","Colorado Gunnison FO",1
"2168","CHFE5","Colorado Gunnison FO",1
"2169","EUPHORAF","California NorCal",1
"2170","PPSU","California NorCal",1
"2171","SPOROAG","California NorCal",2
"2172","BRASSIPF","California NorCal",1
"2173","POLEMOPF","California NorCal",1
"2174","PF401","California NorCal",1
"2175","PF402","California NorCal",1
"2176","PF403","California NorCal",1
"2177","AF407","California NorCal",1
"2178","AG402","California NorCal",1
"2179","ALLIUAF","California NorCal",3
"2180","AF401","California NorCal",3
"2181","PF404","California NorCal",2
"2182","PF405","California NorCal",1
"2183","PF406","California NorCal",1
"2184","PF410","California NorCal",2
"2185","AF402","California NorCal",2
"2186","AF403","California NorCal",1
"2187","AG406","California NorCal",1
"2188","PF413","California NorCal",1
"2189","PF414","California NorCal",2
"2190","SH402","California NorCal",1
"2191","AF405","California NorCal",1
"2192","AF415","California NorCal",1
"2193","PF415","California NorCal",2
"2194","AG403","California NorCal",1
"2195","AG404","California NorCal",2
"2196","PF417","California NorCal",1
"2197","SH401","California NorCal",1
"2198","AF408","California NorCal",1
"2199","AF409","California NorCal",1
"2200","AG405","California NorCal",1
"2201","PF411","California NorCal",1
"2202","PF412","California NorCal",1
"2203","SDELEL5","California NorCal",1
"2204","SDPSSP6","California NorCal",1
"2205","COLLOAF","California NorCal",4
"2206","ROSA5SH","California NorCal",1
