"","Code","ProjectBase","n"
"321","AF01","Nevada CCDO",6
"322","AF01","Nevada EKDO",19
"323","AF01","Nevada EYDO",15
"324","AF01","Nevada Winnemucca ESR",9
"325","AF01","Nevada WMDO",51
"326","AF01","New Mexico RGdNNM",2
"327","AF01","Wyoming Lander FO",1
"328","PF10","California NorCal",4
"329","PF10","Colorado White River FO",1
"330","PF10","Nevada CCDO",3
"331","PF10","Nevada EKDO",2
"332","PF10","Nevada Winnemucca ESR",1
"333","PF10","Nevada WMDO",2
"334","AF65","California NorCal",1
"335","AF65","Nevada BMDO",2
"336","AF65","Nevada CCDO",3
"337","AF67","California NorCal",1
"338","AF67","Nevada CCDO",3
"339","ALLIUPF","California NorCal",11
"340","ALLIUPF","Nevada BMDO",12
"341","ALLIUPF","Nevada CCDO",3
"342","ALLIUPF","Nevada WMDO",6
"343","ALLIUPF","Washington Wenatchee  FO",7
"344","ALLIUPF","Wyoming Lander FO",5
"345","PF05","California NorCal",3
"346","PF05","Colorado White River FO",1
"347","PF05","Nevada BMDO",6
"348","PF05","Nevada CCDO",3
"349","PF05","Nevada EKDO",4
"350","PF05","Nevada EYDO",4
"351","PF05","Nevada SNDO",4
"352","PF05","Nevada WMDO",4
"353","PF05","Wyoming Lander FO",1
"354","ZIGADPF","California NorCal",14
"355","ZIGADPF","Nevada BMDO",22
"356","ZIGADPF","Nevada WMDO",11
"357","ERIGE2P","Idaho CRMONM AIM",5
"358","ERIGE2P","Nevada BMDO",7
"359","ERIGE2P","Nevada EKDO",22
"360","ERIGE2P","Nevada EYDO",2
"361","ERIGE2P","Nevada SNDO",1
"362","ERIGE2P","Nevada Winnemucca ESR",24
"363","ERIGE2P","Nevada WMDO",8
"364","PG04","California NorCal",2
"365","PG04","Colorado San Luis Valley FO",2
"366","PG04","Colorado White River FO",4
"367","PG04","Nevada BMDO",2
"368","PG04","Nevada CCDO",3
"369","PG04","Nevada SNDO",2
"370","PG04","Nevada Winnemucca ESR",1
"371","PG04","Nevada WMDO",5
"372","PG04","Washington Wenatchee  FO",1
"373","CALOCPF","California NorCal",4
"374","CALOCPF","Nevada BMDO",6
"375","CALOCPF","Nevada CCDO",12
"376","CALOCPF","Washington Wenatchee  FO",3
"377","CALOCPF","Wyoming Lander FO",7
"378","CASTI2P","Idaho CRMONM AIM",18
"379","CASTI2P","Nevada BMDO",1
"380","CASTI2P","Nevada EKDO",12
"381","CASTI2P","Nevada EYDO",2
"382","CASTI2P","Nevada Winnemucca ESR",11
"383","CASTI2P","Nevada WMDO",10
"384","PF06","California NorCal",2
"385","PF06","Colorado San Luis Valley FO",2
"386","PF06","Nevada BMDO",2
"387","PF06","Nevada CCDO",3
"388","PF06","Nevada EKDO",1
"389","PF06","Nevada EYDO",1
"390","PF06","Nevada SNDO",1
"391","PF06","Nevada WMDO",9
"392","ALYSSAF","Nevada BMDO",11
"393","ALYSSAF","Nevada CCDO",4
"394","PF04","California NorCal",4
"395","PF04","Colorado White River FO",5
"396","PF04","Nevada BMDO",1
"397","PF04","Nevada CCDO",3
"398","PF04","Nevada EKDO",6
"399","PF04","Nevada EYDO",2
"400","PF04","Nevada Winnemucca ESR",1
"401","PF04","Nevada WMDO",8
"402","ASTRAA","Idaho CRMONM AIM",2
"403","ASTRAA","Nevada BMDO",6
"404","ASTRAA","Nevada CCDO",3
"405","ASTRAA","Nevada EKDO",7
"406","ASTRAA","Nevada EYDO",1
"407","ASTRAA","Nevada SNDO",3
"408","ASTRAA","Nevada Winnemucca ESR",35
"409","ASTRAA","Utah Grand Staircase Escalante NM",11
"410","FRAGAPF","Nevada BMDO",2
"411","AF52","California NorCal",1
"412","AF52","Nevada BMDO",1
"413","AF52","Nevada CCDO",3
"414","AF52","Nevada Winnemucca ESR",3
"415","AF53","California NorCal",1
"416","AF53","Nevada BMDO",1
"417","AF53","Nevada Winnemucca ESR",1
"418","AF54","California NorCal",2
"419","AF54","Nevada BMDO",1
"420","AF55","California NorCal",3
"421","AF55","Nevada BMDO",1
"422","AF56","California NorCal",1
"423","AF56","Nevada BMDO",1
"424","AF57","California NorCal",1
"425","AF57","Nevada BMDO",1
"426","AF58","California NorCal",4
"427","AF58","Nevada BMDO",1
"428","AF59","California NorCal",1
"429","AF59","Nevada BMDO",1
"430","PF51","California NorCal",2
"431","PF51","Nevada BMDO",1
"432","PF51","Nevada Winnemucca ESR",1
"433","PF51","Wyoming Lander FO",1
"434","PG50","Nevada BMDO",1
"435","PG51","Nevada BMDO",1
"436","AF60","California NorCal",1
"437","AF60","Nevada BMDO",1
"438","CRYPTP","Nevada BMDO",3
"439","CRYPTP","Nevada CCDO",3
"440","CRYPTP","Nevada EKDO",27
"441","CRYPTP","Nevada EYDO",7
"442","CRYPTP","Nevada Winnemucca ESR",2
"443","CRYPTP","Nevada WMDO",4
"444","CRYPTP","Utah Grand Staircase Escalante NM",7
"445","PG52","Nevada BMDO",1
"446","PF55","California NorCal",1
"447","PF55","Nevada BMDO",1
"448","PF55","Nevada Winnemucca ESR",1
"449","RIBESSH","California NorCal",2
"450","RIBESSH","Nevada BMDO",4
"451","RIBESSH","Nevada WMDO",13
"452","SEDUMSUC","Nevada BMDO",1
"453","AF50","California NorCal",3
"454","AF50","Nevada BMDO",1
"455","AF50","Nevada CCDO",3
"456","AF50","Nevada Winnemucca ESR",1
"457","AF51","California NorCal",2
"458","AF51","Nevada BMDO",2
"459","AF51","Nevada CCDO",12
"460","AF51","Nevada Winnemucca ESR",1
"461","DESCUAF","California NorCal",2
"462","DESCUAF","Nevada BMDO",7
"463","DESCUAF","Nevada CCDO",3
"464","DESCUAF","Nevada EYDO",1
