"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ARAD","ANNUAL","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","GOOD.ARTEMISIA","HIMTNMEADOWSPP","OTHER.ALLIUM","SHRUB","SUB.SHRUB","TREE","CXPED","NISB.1","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","SITENAME","LINEID","TOTALWTHECTARE","RC.Class","state.Class"
"1256",1264,2014,"UH-ZUUNBAYANULAAN","SHARGA","UH-Zuunbayanulaan / Sharga","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0,0,0,20.75,0,0,0,0,0,5.75,12.25,0,0,0,0,0,15.25,NA,4,0,4.5,0,0,0,0,0,0,0,62.25,35.75,7,"Uvurhangai-Zuunbayanulaan",1,612.0142822,"I","1"
"1257",1265,2014,"UH-ZUUNBAYANULAAN","ULAAN DEL","UH-Zuunbayanulaan / Ulaan del","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,0,0,0,0,8,0,0,0,0,0,12.25,18.5,0,0,0,0,0,16.5,2,0,0,6.5,0,0,0,0,0,0,0,60.25,39.5,9,"Uvurhangai-Zuunbayanulaan",1,738.0172729,"I","1"
"1258",1266,2014,"UM-BAYAN-OVOO","HAR ZAG_ERGEN US","UM-Bayan-Ovoo / Har zag_Ergen us","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,3.5,NA,NA,NA,0,0,NA,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,84,4,"Umnugovi-Bayan-Ovoo",1,87.202034,"II","2"
"1259",1267,2014,"UM-BAYAN-OVOO","MOGOIT_HASHAALAAGUI TALBAI","UM-Bayan-Ovoo / Mogoit_hashaalaagui talbai","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,5.25,NA,NA,NA,0,0,NA,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16.75,83.25,4,"Umnugovi-Bayan-Ovoo",1,83.40194702,"II","2"
"1260",1268,2014,"UM-BAYAN-OVOO","MOGOIT_SUHAIN HOH OVOO","UM-Bayan-Ovoo / Mogoit_Suhain hoh ovoo","I","Sandy",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,0,0,0,7.25,NA,NA,NA,0,0,NA,0,0,0,0,7.5,0,0,0,0,0,0,1.25,0,0,0,NA,NA,NA,NA,19.25,80.75,5,"Umnugovi-Bayan-Ovoo",1,46.60108948,"I","1"
"1261",1269,2014,"UM-BAYAN-OVOO","NALIH_HYYRT","UM-Bayan-Ovoo / Nalih_Hyyrt","II","Gravelly",14,2,2.1,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,0,0,3.5,NA,NA,NA,0,0,NA,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,82,4,"Umnugovi-Bayan-Ovoo",1,63.40148163,"III","2"
"1262",1270,2014,"UM-BAYANDALAI","BAYAN-GOYOT","UM-Bayandalai / Bayan-Goyot","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0.25,NA,NA,NA,0,0,NA,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23.5,18.75,6,"Umnugovi-Bayandalai",1,130.4030457,"I","1"
"1263",1271,2014,"UM-BAYANDALAI","BAYAN-TOVON","UM-Bayandalai / bayan-Tovon","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0.75,NA,NA,NA,0,0,NA,0,0,0,0,1.75,0,0,0,0,0,0,0.25,0,0,0,NA,NA,NA,NA,10.5,34,6,"Umnugovi-Bayandalai",1,108.8025436,"II","2"
"1264",1272,2014,"UM-BAYANDALAI","NARAN-SUUJ","UM-Bayandalai / Naran-Suuj","I","sandy ",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,4.25,0.25,0,4.25,0.75,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,17.75,32.75,8,"Umnugovi-Bayandalai",1,131.8030853,"I","1"
"1265",1273,2014,"UM-BAYANDALAI","TUHUM-HOROOT","UM-Bayandalai / Tuhum-Horoot","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0.75,NA,NA,NA,0,0,NA,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24.75,25,5,"Umnugovi-Bayandalai",1,184.004303,"I","1"
"1266",1274,2014,"UM-BULGAN","BULGAN-HASHAALAAGUI TALBAI","UM-Bulgan / Bulgan-Hashaalaagui talbai","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,3.5,0,0.75,NA,NA,NA,0,0,NA,16.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,39.5,16,9,"Umnugovi-Bulgan",1,106.4024963,"I","1"
"1267",1275,2014,"UM-BULGAN","DAL-UNDUR YGAAN","UM-Bulgan / Dal-Undur ygaan","II","Sandy loam",12,2,2.1,2,"No","STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,0,1.25,0,0.75,0.25,0,0,0,0,0,8.25,0,0,0,7.75,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,26.25,13.75,14,"Umnugovi-Bulgan",1,55.00128555,"II","2"
"1268",1276,2014,"UM-BULGAN","DEN-DEN","UM-Bulgan / Den-Den","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,1.5,3.25,0,0,0.75,0,0,0,0,0,25.5,0,0,0,42,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,67.5,29.25,17,"Umnugovi-Bulgan",1,196.0045929,"I","1"
"1269",1277,2014,"UM-BULGAN","HAVTSGAIT-ULAAN TOLGOI","UM-Bulgan / Havtsgait-Ulaan tolgoi","I","Sandy loam",12,1,1.1,1,"Yes","STKR-STGL/STGO-CLSQ rangeland in Sandy loamy covered gravelly plain ESG, Semi desert steppe",0,0,2,2.25,0,0,3,0,0,0,0,0,11.5,14.25,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,8.25,11,"Umnugovi-Bulgan",1,215.8050537,"I","1"
"1270",1278,2014,"UM-DALANZADGAD","TS BULAG_HASHAALAAGUI TALBAI","UM-Dalanzadgad / Ts bulag_Hashaalaagui talbai","IV","Sandy",16,3,3.1,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,0.5,0,0,0,NA,NA,NA,0,0,NA,3,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5.25,46,5,"Umnugovi-Dalanzadgad",1,18.60043716,"IV","3"
"1271",1279,2014,"UM-DALANZADGAD","TSAGAAN BULAG_BAGA BULAG","UM-Dalanzadgad / Tsagaan bulag_Baga bulag","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,1.25,0,0,0.25,NA,NA,NA,0,0,NA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13,34.5,7,"Umnugovi-Dalanzadgad",1,64.00149536,"II","2"
"1272",1280,2014,"UM-GURVANTES","BAYSAH-DUSLUUR","UM-Gurvantes / Baysah-Dusluur","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,3.75,0,3.75,0,NA,NA,NA,0,0,NA,4.5,0,0,0,4,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,18,65.75,11,"Umnugovi-Gurvantes",1,129.0030212,"II","2"
"1273",1281,2014,"UM-GURVANTES","GOYOT-TAMGAT","UM-Gurvantes / Goyot-Tamgat","I","Sandy",19,1,1.1,1,"Yes","Desert rangeland with shrubs in Sandy ESG, Desert",0,NA,3,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0.5,0,0,0,1,0,0,0,3.5,0,0,NA,NA,NA,NA,17.25,82.25,9,"Umnugovi-Gurvantes",1,0.459930837,"I","1"
"1274",1282,2014,"UM-GURVANTES","TOST-TSAGAAN HURUU","UM-Gurvantes / Tost-Tsagaan huruu","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0.75,0,0,NA,NA,NA,0,0,NA,0.25,0,0,0,20,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,42.25,48.25,9,"Umnugovi-Gurvantes",1,291.2068176,"I","1"
"1275",1283,2014,"UM-GURVANTES","URT-HASHAALAAGUI TALBAI","UM-Gurvantes / Urt-hashaalaagui talbai","III","Gravelly",14,2,2.2,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,1,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,7,0,0,0,1,0.5,0,0,0,0,0,NA,NA,NA,NA,22,51,7,"Umnugovi-Gurvantes",1,168.6039581,"III","2"
"1276",1284,2014,"UM-GURVANTES","URT-MURGUTSUG","UM-Gurvantes / Urt-Murgutsug","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,1.25,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,12.5,56.25,5,"Umnugovi-Gurvantes",1,193.8045349,"II","2"
"1277",1285,2014,"UM-HANBOGD","BAYAN-UHAA ZAG","UM-Hanbogd / Bayan-Uhaa zag","I","Sandy",19,1,1.1,1,"Yes","Desert rangeland with shrubs in Sandy ESG, Desert",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4.25,70,3,"Umnugovi-Hanbogd",1,20.00046539,"I","1"
"1278",1286,2014,"UM-HANBOGD","GAVILUUT-ARGALT","UM-Hanbogd / Gaviluut-Argalt","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,1.5,0,0,0.25,NA,NA,NA,0,0,NA,0.5,2.25,0,0,1.75,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11.75,64.5,10,"Umnugovi-Hanbogd",1,67.60157776,"II","2"
"1279",1287,2014,"UM-HANBOGD","JAVHLANT-HASHAALAAGUI TALBAI","UM-Hanbogd / Javhlant-Hashaalaagui talbai","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,1.25,0,0,4.5,NA,NA,NA,0,0,NA,0.25,0.5,0,0,1.25,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,15.75,70,9,"Umnugovi-Hanbogd",1,32.20075226,"II","2"
"1280",1288,2014,"UM-HANBOGD","JAVHLANT-TESGET","UM-Hanbogd / Javhlant-Tesget","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0.5,NA,3.5,0,0,0.5,NA,NA,NA,0,0,NA,4.75,0,0,0,23.75,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,33.75,48.5,14,"Umnugovi-Hanbogd",1,72.80170441,"I","1"
"1281",1289,2014,"UM-HANBOGD","NOMGON-BUILSTIIN AM","UM-Hanbogd / Nomgon-Builstiin am","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,2.25,73.5,2,"Umnugovi-Hanbogd",1,25.80060387,"II","2"
"1282",1290,2014,"UM-HANHONGOR","HONDOT_HAN-UUL","UM-Hanhongor / Hondot_Han-uul","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,3,0,0,3,NA,NA,NA,0,0,NA,3.25,0,0,0,7.25,0,0,0,1,0,0,3,0,0,0,NA,NA,NA,NA,24.25,27.75,10,"Umnugovi-Hanhongor",1,340.2079773,"II","2"
"1283",1291,2014,"UM-HANHONGOR","JARGALANT_SHAVARTAI","UM-Hanhongor / Jargalant_Shavartai","II","Gravelly",14,2,2.1,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,1.5,0,0,0,8.25,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,14.75,37.5,6,"Umnugovi-Hanhongor",1,89.40209198,"III","2"
"1284",1292,2014,"UM-HANHONGOR","MANDAH_YNEGT","UM-Hanhongor / Mandah_Ynegt","III","Sandy ",16,2,2.2,2,"No","STGL/STGO-ALLPO rangeland in Loamy plain ESG , Desert steppe",0,NA,0.25,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4.5,53.25,6,"Umnugovi-Hanhongor",1,57.20133972,"IV","3"
"1285",1293,2014,"UM-HANHONGOR","UGUUMUR_BUMTIIN ZOO","UM-Hanhongor / Uguumur_Bumtiin zoo","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,1,NA,NA,NA,0,0,NA,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15.75,39,5,"Umnugovi-Hanhongor",1,35.60083008,"I","1"
"1286",1294,2014,"UM-HURMEN","HURMEN-HASHAALAAGUI TALBAI","UM-Hurmen / Hurmen-Hashaalaagui talbai","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,0,0,0.25,NA,NA,NA,0,0,NA,0,0,0,0,22.25,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,28.25,47.5,5,"Umnugovi-Hurmen",1,57.00133514,"I","1"
"1287",1295,2014,"UM-HURMEN","HURMEN-ULAAN TSAV","UM-Hurmen / Hurmen-Ulaan tsav","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,0,0,0.75,NA,NA,NA,0,0,NA,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,31.25,40.5,5,"Umnugovi-Hurmen",1,214.605011,"I","1"
"1288",1296,2014,"UM-HURMEN","JANJIN-TSENHER DEL","UM-Hurmen / Janjin-Tsenher Del","I","sandy ",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,1.75,0,0,12.75,NA,NA,NA,0,0,NA,0,0,0,0,4.25,0,0,0,1,0.25,0,0.75,0,0,0,NA,NA,NA,NA,24,48.75,12,"Umnugovi-Hurmen",1,120.2028198,"III","2"
"1289",1297,2014,"UM-HURMEN","TULGA-HUH UNDUR","UM-Hurmen / Tulga-Huh undur","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0.5,NA,NA,NA,0,0,NA,0,2.5,0,0,12.25,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,26.5,55.75,7,"Umnugovi-Hurmen",1,119.4028015,"I","1"
"1290",1298,2014,"UM-MANDAL-OVOO","BAYANHOSHUU-GAVUU","UM-Mandal-Ovoo / Bayanhoshuu-Gavuu","I","Loamy",15,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,79.25,6,"Umnugovi-Mandal-Ovoo",1,64.40150452,"II","2"
"1291",1299,2014,"UM-MANDAL-OVOO","MANDAL=GANTS BURGAS","UM-Mandal-Ovoo / Mandal=Gants burgas","I","High water table",22,1,1.1,1,"Yes","Desert rangeland with halophyte shrubs in Saline solonchak ESG, Desert ",11,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.25,0,0,19,79,5,"Umnugovi-Mandal-Ovoo",1,145.2033997,"I","1"
"1292",1300,2014,"UM-MANDAL-OVOO","UTGUN-DURVULJIN","UM-Mandal-Ovoo / Utgun-Durvuljin","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0.5,NA,NA,NA,0,0,NA,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6.25,85.25,7,"Umnugovi-Mandal-Ovoo",1,31.40073395,"II","2"
"1293",1301,2014,"UM-MANDAL-OVOO","UTGUN-HASHAALAAGUI TALBAI","UM-Mandal-Ovoo / Utgun-hashaalaagui talbai","I","sandy ",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0.25,0,0,0,2.5,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,9.75,83.25,6,"Umnugovi-Mandal-Ovoo",1,37.40087891,"IV","3"
"1294",1302,2014,"UM-MANLAI","DALAI_HASHAALAAGUI TALBAI","UM-Manlai / Dalai_Hashaalaagui talbai","II","Gravelly",14,2,2.1,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,4.25,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,7,72.25,6,"Umnugovi-Manlai",1,13.80032253,"III","2"
"1295",1303,2014,"UM-MANLAI","DALAI_NARAN","UM-Manlai / Dalai_Naran","I","sandy ",16,1,1.1,1,"Yes","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,0,0,0,0.25,NA,NA,NA,0,0,NA,0.25,0,0,0,8,0,0,0,1,1.25,0,0,0,0,0,NA,NA,NA,NA,10.5,83,6,"Umnugovi-Manlai",1,28.00065422,"I","1"
"1296",1304,2014,"UM-MANLAI","JARGALANT_SONOR","UM-Manlai / Jargalant_Sonor","I","sandy",16,1,1.1,1,"Yes","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,NA,0,0,0,2.5,NA,NA,NA,0,0,NA,0.25,0,0,0,12.5,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,15.75,29.25,6,"Umnugovi-Manlai",1,23.40054893,"I","1"
"1297",1305,2014,"UM-MANLAI","UGUUMUR_GYN BAYAN","UM-Manlai / Uguumur_Gyn bayan","I","Sandy",16,1,1.1,1,"Yes","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,11.25,0,0,0,1,0.5,0,0.75,0,0,0,0.25,0,0,0,13.75,81.5,9,"Umnugovi-Manlai",1,26.00060844,"I","1"
"1298",1306,2014,"UM-MANLAI","UYHII_TOONOT","UM-Manlai / Uyhii_Toonot","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0.5,NA,NA,NA,0,0,NA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10.5,23.5,6,"Umnugovi-Manlai",1,49.00114822,"II","2"
"1299",1307,2014,"UM-NOMGON","BOGD-ZANGANII TSAGAAN NURUU","UM-Nomgon / Bogd-Zanganii tsagaan nuruu","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,5.5,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,11.25,84.75,5,"Umnugovi-Nomgon",1,67.40158081,"II","2"
"1300",1308,2014,"UM-NOMGON","DERSENE US-IH DEN","UM-Nomgon / Dersene us-Ih den","I","Sandy",19,1,1.1,1,"Yes","Desert rangeland with shrubs in Sandy ESG, Desert",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,1.75,0,0,0,0,0,0,1.5,0,0,0,NA,NA,NA,NA,13,84.25,4,"Umnugovi-Nomgon",1,198.8046417,"I","1"
"1301",1309,2014,"UM-NOMGON","EMGENBULAG-EMGENBULAG","UM-Nomgon / Emgenbulag-Emgenbulag","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20.5,75.25,5,"Umnugovi-Nomgon",1,93.20217896,"I","1"
"1302",1310,2014,"UM-NOMGON","HARMARTAI-BUUR HAIRHAN","UM-Nomgon / Harmartai-Buur hairhan","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,1.5,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,19.25,74.5,5,"Umnugovi-Nomgon",1,594.2138672,"II","2"
"1303",1311,2014,"UM-NOMGON","SUMIIN TUV-HASHAALAAGUI TALBAI","UM-Nomgon / Sumiin tuv-Hashaalaagui talbai","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,1.5,NA,NA,NA,0,0,NA,0,0,0,0,12,0,0,0,0,0,0,0.5,0,0,0,NA,NA,NA,NA,23.25,75.75,6,"Umnugovi-Nomgon",1,132.6031036,"I","1"
"1304",1312,2014,"UM-NOMGON","TUHUM-32-IIN HUDAG","UM-Nomgon / Tuhum-32-iin hudag","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17.75,80.25,4,"Umnugovi-Nomgon",1,247.20578,"II","2"
"1305",1313,2014,"UM-NOYON","GANZAGAD_TSOOHONDOI","UM-Noyon / Ganzagad_Tsoohondoi","I","Sandy",19,1,1.1,1,"Yes","Desert rangeland with shrubs in Sandy ESG, Desert",0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,1.75,0,0,8.25,91.75,5,"Umnugovi-Noyon",1,138.4032288,"I","1"
"1306",1314,2014,"UM-NOYON","SAIRAN_H-GUI TALBAI HOTOL","UM-Noyon / Sairan_H-gui talbai Hotol","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,2.25,0,0,0,NA,NA,NA,0,0,NA,4.5,0,0,0,5.75,0,0,0,1,0.25,0,0,0,0,0,NA,NA,NA,NA,24,76,7,"Umnugovi-Noyon",1,233.2054596,"II","2"
"1307",1315,2014,"UM-NOYON","SAIRAN_SUUJ","UM-Noyon / Sairan_Suuj","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,5.5,0,0.5,NA,NA,NA,0,0,NA,0.75,0,0,0,27,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,33,67,7,"Umnugovi-Noyon",1,128.2030029,"I","1"
"1308",1316,2014,"UM-SEVREI","BYILSEN_NARAN HASHAALAAGUI","UM-Sevrei / Byilsen_Naran hashaalaagui","II","Gravelly",14,2,2.1,2,"No","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,6.5,0,0,0,0,0,0,1.5,0,0,0,NA,NA,NA,NA,18.5,74.75,6,"Umnugovi-Sevrei",1,195.0045624,"III","2"
"1309",1317,2014,"UM-SEVREI","BYILSEN_UVT","UM-Sevrei / Byilsen_Uvt","I","Gravelly",14,1,1.1,1,"Yes","Stipa gobica/ Stpa glareosa –grass rangeland in Gravelly hills ESG, Desert steppe",0,NA,0,4,0,0,NA,NA,NA,0,0,NA,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38.25,52,5,"Umnugovi-Sevrei",1,175.6041107,"I","1"
"1310",1318,2014,"UM-SEVREI","HOOLT_ ZADGAISHAND","UM-Sevrei / Hoolt_ Zadgaishand","I","Loamy",15,1,1.1,1,"Yes","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,3.75,0,0,NA,NA,NA,0,0,NA,0,0,0,0,21,0,0,0,0,0,0,3.75,0,0,0,NA,NA,NA,NA,32.25,64.5,5,"Umnugovi-Sevrei",1,104.6024475,"I","1"
"1311",1319,2014,"UM-SEVREI","SAINSHAND_ 2 HUDGIIN TESEG","UM-Sevrei / Sainshand_ 2 hudgiin teseg","II","Loamy",18,2,2.1,2,"No","Desert rangeland with Anabasis in Loamy covered gravelly ESG, Desert",0,NA,1,2,0,0,NA,NA,NA,0,0,NA,0,0,0,0,4.5,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,13.25,66,9,"Umnugovi-Sevrei",1,120.0028,"I","1"
"1312",1320,2014,"UM-TSOGT-OVOO","BOR TEEG-BOR HURUU","UM-Tsogt-Ovoo / Bor teeg-Bor huruu","II","Loamy",15,1,1.2,2,"No","STGL/STGO-semi shrubs rangeland in Loamy covered gravelly plain ESG, desert steppe",0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8.75,79.5,3,"Umnugovi-Tsogt-Ovoo",1,52.60123062,"II","2"
"1313",1321,2014,"UM-TSOGT-OVOO","BOR TEEG-YAMAAGIIN SHAND","UM-Tsogt-Ovoo / Bor teeg-Yamaagiin shand","I","sandy ",16,1,1.2,2,"No","STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0,0,0,0,1,1.25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,78.5,7,"Umnugovi-Tsogt-Ovoo",1,130.2030487,"I","1"
