"","�..","YEAR","SITEID","PLOTID","SITE.PLOT","RC_INTERP","ESG","STM","STATE_INTERP","PHASE_INTERP","REFERENCENUM","REFERENCE","ESGEN","ACHNA","ANNUAL","ARAD","ARFRI","BARTEM","CLEIST","CXDU","LEYM","ELCHN","MEADPF","MEADPG","NISB","PPFF","PPGG","SMBPG","STBA","STGBGL","STGR","STIPA","STKR","SRC","DRYLAND.CAREX","GOOD.ARTEMISIA","HALOPHYTIC.SHRUB","HIMTNMEADOWSPP","MEADOW.CAREX","OTHER.ALLIUM","OTHER.CAREX","SHRUB","SUB.SHRUB","TREE","XEROPHYTIC.SHRUB","CXPED","POTAC","POTBI","PCT.FOLIAR.COVER","PCT.BARE.SOIL","SPECIES.COUNT","TOTALWTHECTARE","RC.Class","state.Class"
"1078",1078,2015,"TU-BAYANTSOGT","GUNA BOR","TU-Bayantsogt / Guna bor","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,5.75,13,4.5,13,0,0,20.25,20.25,0,0,0,2.25,7,0,0,0,0,0,3.5,2,0,0,0,0,5.75,0,0,0,0,0,0.25,5.75,0,0,55.25,30.75,12,690.2161865,"III","3"
"1079",1079,2015,"TU-BAYANTSOGT","HADAT TOLGOI","TU-Bayantsogt / Hadat tolgoi","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,6.75,0,6.75,0,1.75,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,29.75,1,1.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,38,25.75,7,207.6048584,"I","1"
"1080",1080,2015,"TU-BAYANTSOGT","MAIHANT","TU-Bayantsogt / Maihant","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,13.5,3.25,0,3.25,0,0,12,12,0,0,0,0.25,1.25,0,0,0,0,0,9.5,1,0,0,0,0,5,6.25,0,0,0,0,1.5,5,0,0,49.25,32.75,11,441.0103149,"III","3"
"1081",1081,2015,"TU-BORNUUR","51-IIN ZUSLANGIIN AM","TU-Bornuur / 51-iin zuslangiin am","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,43.5,20,43.5,0,51,9.75,9.75,0,0,0,2.25,0,0,0,0,0,0,23.5,NA,51,0,0,0,0,0,0,0,0,0,0,0,0.25,0,100,NA,9,689.6162109,"I","1"
"1082",1082,2015,"TU-BORNUUR","DUGANII HOID AM","TU-Bornuur / Duganii hoid am","IV","Loamy",2,3,3.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,59,3.75,59,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86.5,0,0,0,0,0,0,0,0,0,0.75,0,0,0,100,NA,5,492.6115112,"IV","3"
"1083",1083,2015,"TU-BORNUUR","MANDALIIN AM","TU-Bornuur / Mandaliin am","IV","Loamy",2,3,3.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,11,61.5,11,0,1,0,0,0,0,0,13,14,0,0,0,0,0,15.75,2,1,0,0,0,0,0,0,0,0,0,3.75,0,0,0.75,100,NA,10,235.6055145,"III","2"
"1084",1084,2015,"TU-BORNUUR","NUURIIN HAJUU","TU-Bornuur / Nuuriin hajuu","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,27,17,27,0,90,0.75,0.75,0,0,0,3.25,17.5,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,3,100,NA,8,303.6071167,"III","2"
"1085",1085,2015,"TU-BUREN","ASGAT","TU-Buren / Asgat","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,1.75,0,2.75,0,7.25,11,0,0,0,0,0,12,2.5,0,0,0,0,0,43,0,11,0,0,0,0,0,0,0,0,0,4.25,0,0,0,79.5,19,13,410.4096069,"I","1"
"1086",1086,2015,"TU-BUREN","BICHIGT","TU-Buren / Bichigt","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,6.75,0,26,0,7.75,58.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,10.5,0,58.5,0,0,0,0,0.25,0,0,0,0,2.75,0,0,0,88.25,11,10,643.0150146,"IV","4"
"1087",1087,2015,"TU-BUREN","HANAN","TU-Buren / Hanan","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,3.75,20,0,20,3.5,2.25,0,0,0,0,0,0.25,3,0,0,0,0,0,57,0,2.25,0,0,0,0,0,0,0,0,0,6.25,0,0,0.25,84.75,9.25,12,621.0145264,"I","1"
"1088",1088,2015,"TU-BUREN","HUSHUUN BULAN","TU-Buren / Hushuun bulan","II","High water table",10,2,2.1,2,"No","ACSP dominated solonchak in HWT ESG, Steppe",5.5,40,0,0,0,3.25,16,4.75,4.75,0,0,0,0.75,0,0,0,0,0,0,0.25,0,16,0,0,0,0,0,0,0,0,0,1.75,0,0,0.75,65.25,31,13,382.4089355,"III","3"
"1089",1089,2015,"TU-BUREN","TEEG","TU-Buren / Teeg","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0.25,0,8.75,0,14.25,5.25,0,0,0,0,0,1.75,0,0,0,0,0,0,56,0,5.25,0,0,0,0,0,0,0,0.5,0,1,0,0,1.75,76.5,14.75,10,485.0113525,"I","1"
"1090",1090,2015,"TU-DELGERHAAN","EHEN TARGAN","TU-Delgerhaan / Ehen targan","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",2.5,0,21.75,0,21.75,10.25,9.75,0,0,0,0,0,0,0.25,0,0,0,0,0,14,1,9.75,0,0,0,0,0,0,0,0,0,6.5,0,0,0,60.25,33.75,8,448.8105164,"III","3"
"1091",1091,2015,"TU-DELGERHAAN","IH HUSHUUT","TU-Delgerhaan / Ih hushuut","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,29.5,0,29.5,6.25,6.5,0,0,0,0,0,0,3.5,0,0,0,0,0,13.5,1,6.5,0,0,0,0,0,0,0,0,0,1.75,0,0,0,56.5,39,7,426.2099609,"IV","4"
"1092",1092,2015,"TU-DELGERHAAN","MANDAL","TU-Delgerhaan / Mandal","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,4.5,0,0,0,6.75,10.75,7,7,0,0,0,1.75,5.5,0,0,0,0,0,14.75,1,10.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,48.5,43.25,11,270.2063293,"III","3"
"1093",1093,2015,"TU-ERDENE","BARUUN BAYAN","TU-Erdene / Baruun bayan","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,0,3.75,0,3.75,0,8.5,0,0,0,0,0,75.25,24.25,0,0,0,0,0,0,0,8.5,0.75,0,0,0,8,0,0,0,0,0,0,1.5,27.75,94.5,5.5,19,471.4109802,"I","1"
"1094",1094,2015,"TU-ERDENE","EL","TU-Erdene / El","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,9.25,21.25,9.25,0,0,0,0,0,0,0,27.5,5.75,4,0,0,0,0,19,1,0,4.25,0,0,0,7.75,0,0,0,0,0,0,2.5,3.25,71.75,14.5,15,170.2039948,"I","1"
"1095",1095,2015,"TU-ERDENE","HARZTAI","TU-Erdene / Harztai","II","Gravelly",1,2,2.1,2,"No","Small bunch grass-forb-ARFRI rangeland in Gravelly hills ESG, FS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"1096",1096,2015,"TU-ERDENE","HASHAALAAGUI TALBAI","TU-Erdene / Hashaalaagui talbai","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,17.25,14,17.25,0,0,0,0,0,0,0,33.25,7.75,0,0,0,0,0,14.25,1,0,0,0,0,5.25,7.75,0,0,0,0,0,5.25,0,7,73.5,21,16,229.405365,"I","1"
"1097",1097,2015,"TU-ERDENE","ZUUN BAYANGIIN EH","TU-Erdene / Zuun bayangiin eh","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,6,2.5,0,2.5,0,13.5,0,0,0,0,0,84.75,8.75,1.5,0,0,0,0,0,0,13.5,9.75,0,0,0,0,0,0,0,0,0,0,4.75,13.25,98.25,1.75,23,492.4115295,"I","1"
"1098",1098,2015,"TU-ERDENESANT","BAYAN HARIIN ENGER","TU-Erdenesant / Bayan hariin enger","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,2.25,0,7.75,0,0,53.5,25,25,0,0,0,0,22.25,0,0,0,0,0,16.5,0,53.5,0,0,0,0,0,0,0,0,0,4,0,0,0,89.5,1.25,8,341.8079834,"II","2"
"1099",1099,2015,"TU-ERDENESANT","HAR DEL","TU-Erdenesant / Har del","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,27,0,0,12,21.5,21.5,0,0,0,2.5,7.75,0,0,0,0,0,14.75,0,12,0,0,0,0,6.75,0,0,0,0,6,0,0,2.5,65.25,24,9,273.0063782,"III","3"
"1100",1100,2015,"TU-ERDENESANT","HOLBOOGIIN ENGER","TU-Erdenesant / Holboogiin enger","III","Sandy loam",8,2,2.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,3.75,3.25,0,3.25,0,32.25,1,1,0,0,0,0,0.5,0,0,0,0,0,4,0,32.25,0,0,0,0,0,0,0,0,0,0,0,0,0,44.75,32.25,7,205.4048004,"IV","4"
"1101",1101,2015,"TU-ERDENESANT","SHAR TOLGOI","TU-Erdenesant / Shar tolgoi","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,16,0.75,16,0,14,5,5,0,0,0,6.75,8.5,0,0,0,0,0,63,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6.75,90.5,5.25,9,240.2056274,"I","1"
"1102",1102,2015,"TU-ERDENESANT","URD OORTSOGIIN DUND BUUTS","TU-Erdenesant / Urd oortsogiin dund buuts","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,3.75,3.25,8.75,3.25,0,0,25.25,25.25,0,0,0,3,8.25,0,0,0,0,0,7.25,0,0,0,0,0,0,17,0,0,0,0,6.75,0,0,3,61.5,20,10,424.6099548,"III","3"
"1103",1103,2015,"TU-JARGALANT","GAHAI","TU-Jargalant / Gahai","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,3.25,0,0.25,0,0,40.5,0.25,0.25,0,0,0,30.5,23,0,7.5,0,0,0,0,0,40.5,3.5,0,0,0,4.5,0,0,0,0,50.5,0,19.75,5.5,82.75,16.75,17,315.4074097,"I","1"
"1104",1104,2015,"TU-JARGALANT","NARIIN","TU-Jargalant / Nariin","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,10.5,2,5.5,2,0,19,4,4,1.25,0,0,24,18.25,0,25.25,0,0,0,0,0,19,1,0,0,5.25,9.75,0,0,0,0,0,5.25,0,3.75,77.25,10.75,22,593.4138794,"I","1"
"1105",1105,2015,"TU-JARGALANT","SHINE US","TU-Jargalant / Shine us","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,9,11,24.25,11,0,12.5,0,0,0,0,0,54.75,18.5,0,21.5,0,0,0,0,0,12.5,0,0,0,16.75,6.75,0,0,0,0,0,16.75,12,0,93,4.5,18,298.2070007,"I","1"
"1106",1106,2015,"TU-JARGALANT","TALBULAG","TU-Jargalant / Talbulag","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,14.5,53,14.5,0,61.5,10.25,10.25,0,0,0,29,0,0,0,0,0,0,0,0,61.5,0,0,0,0,0,0,0,0,0,0,0,21,8,92.25,7.5,7,187.004364,"III","2"
"1107",1107,2015,"TU-LUN","MUNH UUL","TU-Lun / Munh uul","III","Deep Sandy",9,2,2.2,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,16.75,8,14.25,8,14.75,14,0,0,0,0,0,21.25,0,0,0,0,0,0,4.75,0,14,0,0,0,0,0,0,0,0,0,0,0,0,21.25,71.5,23.5,8,223.6052399,"III","3"
"1108",1108,2015,"TU-LUN","TSAGAAN BURGASTAI","TU-Lun / Tsagaan burgastai","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,6.25,35.25,6.25,0,0,0,0,0,0,0,0.75,16.75,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0.75,86.75,10.5,7,513.6119995,"I","1"
"1109",1109,2015,"TU-LUN","ULAAN UUL","TU-Lun / Ulaan uul","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,20.25,1.25,20.25,0,32,0,0,0,0,0,0.25,0,0,0,0,0,0,28.5,0,32,0,0,0,0,0,0,0,0,0,5.25,0,0,0.25,69.75,9.25,7,207.4048462,"I","1"
"1110",1110,2015,"TU-MUNGUNMORIT","JARGALANT","TU-Mungunmorit / Jargalant","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,4,0,0,0,0,26.25,0,0,8,7.5,0,51,8.25,9.5,2.5,0,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,5,0,0,10.75,81.5,15.25,22,879.8205566,"I","1"
"1111",1111,2015,"TU-MUNGUNMORIT","SALHITIIN AM","TU-Mungunmorit / Salhitiin am","I","High water table",5,1,1.1,1,"Yes","Grass-forbs mountain meadow rangeland in loamy ESG, FS",0,1.25,0,0,0,0,29.5,0,0,4.25,3.25,0,39.75,18.75,0,0,0,0,0,0,0,29.5,2.75,0,0,12,0,0,0,0,0,1,12,0.75,26.25,79,20.5,20,59.04005051,"I","1"
"1112",1112,2015,"TU-MUNGUNMORIT","TOGOS UUL","TU-Mungunmorit / Togos uul","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow steppe rangeland in loamy plain ESG, FS ",0,3.75,0,0,0,0,32.25,0,0,4,1.75,0,48.5,21.25,0.75,5,0,0,0,0,0,32.25,0,0,0,4.5,6.25,0,0,0,0,0,4.5,3,15,87,13,26,43.98327637,"III","2"
"1113",1113,2015,"TU-SERGELEN","7-R ZORLOG","TU-Sergelen / 7-r zorlog","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,6.5,6.25,0,6.25,0,21.75,8.5,8.5,0,0,0,6.25,10.25,0.25,0,0,0,0,11.75,2,21.75,0,0,0,0,3,0,0,0,0,0,0,0,0,66.5,8.75,16,204.004776,"III","3"
"1114",1114,2015,"TU-SERGELEN","ANTEN","TU-Sergelen / Anten","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,2,0.25,0.75,0.25,0,7.25,28.25,28.25,0,0,0,10.5,1.25,0,6.25,0,0,0,0,0,7.25,9,0,0,10,0.75,0,0,0,0,1.5,10,0,0,66.75,6.75,23,387.0090637,"III","2"
"1115",1115,2015,"TU-SERGELEN","AR HUDGIIN GOZGOR","TU-Sergelen / Ar hudgiin gozgor","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,12,0,6,0,0,30.25,8.5,8.5,0,0,0,4.75,24.25,0.25,0,0,0,0,4,0,30.25,0,0,0,0,0,0,0,0,0,1.25,0,0,0,76.25,11,15,266.2062378,"I","1"
"1116",1116,2015,"TU-SERGELEN","BAYANCHULUUT","TU-Sergelen / Bayanchuluut","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,2,3.25,0.5,3.25,0,44.5,18.25,18.25,0,0,0,3.75,14.5,0,5.5,0,0,0,0,0,44.5,0,0,0,0,0,0,0,0,0,0.25,0,0,3.25,76,3.25,15,117.4027481,"III","2"
"1117",1117,2015,"TU-SERGELEN","EEJ HADNII BARUUN HOID","TU-Sergelen / Eej hadnii baruun hoid","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,2,0.5,6,0.5,0,26.5,11.25,11.25,0,0,0,5.5,6,0,11,0,0,0,0,0,26.5,0,0,0,0,10,0,0,0,0,3.5,0,0,0.25,74.25,1.5,22,293.8068848,"III","2"
"1118",1118,2015,"TU-SUMBER","70 GA-IIN HOID ENGER","TU-Sumber / 70 ga-iin hoid enger","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,1,18.5,2.5,18.5,0,23.25,2,2,0,0,0,4,15,0,0,0,0,0,9.75,1,23.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,67.25,7.5,15,298.2070007,"I","1"
"1119",1119,2015,"TU-SUMBER","HOLBOO TOLGOI","TU-Sumber / Holboo tolgoi","III","Loamy",2,2,2.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0.25,0,15.75,0,0,29.25,1.25,1.25,0,0,0,8.5,22.75,0,0,0,0,0,2.75,1,29.25,0,0,0,0,1.5,0,0,0,0,2.75,0,5.75,2.5,73.75,3.25,13,569.8133545,"I","1"
"1120",1120,2015,"TU-TSEEL","BURDNII TASARHAI","TU-Tseel / Burdnii tasarhai","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0.5,0,6.5,16.25,6.5,16,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,51,NA,8,281.0065613,"III","3"
"1121",1121,2015,"TU-TSEEL","DUGUI DAVAA","TU-Tseel / Dugui davaa","II","Gravelly",7,2,2.1,2,"No","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,0,6.25,17,6.25,24.5,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.25,NA,6,360.0084229,"III","2"
"1122",1122,2015,"TU-TSEEL","HADAT","TU-Tseel / Hadat","I","Gravelly",7,1,1.2,2,"Yes","STKR-grass-forbs rangeland in Gravelly hills ESG, Steppe",0,0,10.25,6.75,10.25,21.25,0,1,1,0,0,0,0.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2.5,0,0,0,47.75,NA,10,389.2091064,"III","2"
"1123",1123,2015,"TU-TSEEL","MAIHNII AR","TU-Tseel / Maihnii ar","I","Loamy",2,1,1.2,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,1.75,0.25,2,24,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,59.75,NA,8,382.0089417,"I","1"
"1124",1124,2015,"TU-TSEEL","TALIIN HAIRHAN","TU-Tseel / Taliin hairhan","II","Loamy",2,2,2.1,2,"No","SBG-forb rangeland in Loamy fan and mountain valley ESG, FS",0,0,NA,11,19,8,NA,0,0,0,0,NA,0.25,12.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,49.25,NA,7,175.2040863,"III","2"
"1125",1125,2015,"TU-UGTAAL","ALTAN UULIIN BEL","TU-Ugtaal / Altan uuliin bel","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,1.25,0,40.5,0,15.25,0,7.25,7.25,0,0,0,0.5,1.75,0,0,0,0,0,4.75,2,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.5,64.25,27.5,9,380.2088623,"III","3"
"1126",1126,2015,"TU-UGTAAL","DARAVGAI","TU-Ugtaal / Daravgai","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,6.75,33.25,6.75,7.25,0,12.5,12.5,0,0,0,1.75,11.75,0,0,0,0,0,3.25,NA,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,69,25.5,9,485.011322,"III","3"
"1127",1127,2015,"TU-UGTAAL","ELSEN TSAGAANII UVUR","TU-Ugtaal / Elsen tsagaanii uvur","I","Loamy",3,1,1.1,1,"Yes","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,3.75,4.75,14.25,4.75,17.5,0,21.75,21.75,0,0,0,5.25,0.75,1.25,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.25,0,0,5.25,66.25,33.25,12,592.6138916,"III","2"
"1128",1128,2015,"TU-UNDURSHIREET","AR HUS","TU-Undurshireet / Ar hus","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,49.75,0,0.5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,91.5,4.75,6,269.406311,"I","1"
"1129",1129,2015,"TU-UNDURSHIREET","BOR TOLGOI","TU-Undurshireet / Bor tolgoi","II","Deep Sandy",9,2,2.1,2,"No","Caragana-grass rangeland in Deep sandy alluvial plain ESG, Steppe",0,0,0,27.25,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.5,0,0,0,0,0,0,0,0,0,3.75,0,0,0,65.5,25.5,4,105.6024704,"IV","4"
"1130",1130,2015,"TU-UNDURSHIREET","HAIRHAN","TU-Undurshireet / Hairhan","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,32,0,0,14.5,8.75,8.75,0,0,0,0,7.5,0,0,0,0,0,49.75,1,14.5,0,0,0,0,12.5,0,0,0,0,3.5,0,0,0,89,7.75,9,482.8112793,"I","1"
"1131",1131,2015,"TU-ZAAMAR","AR URT","TU-Zaamar / Ar urt","I","Loamy",3,1,1.2,2,"No","STBA-forbs meadow rangeland in loamy fan ESG, FS",0,0,36.75,0.25,36.75,0,1.75,3.75,3.75,0,0,0,2.5,12.75,0,37.25,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,2.25,0,0,0,85.25,NA,11,469.0109863,"I","1"
"1132",1132,2015,"TU-ZAAMAR","BUDUUNII AM","TU-Zaamar / Buduunii am","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,2.25,37.25,2.25,0,1.25,0,0,0,0,0,0,2.25,0,0,0,0,0,47,0,1.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,84.75,NA,7,282.4066162,"I","1"
"1133",1133,2015,"TU-ZAAMAR","GANTS HAILAAST","TU-Zaamar / Gants hailaast","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,29.25,0,29.25,0,1.5,0,0,0,0,0,0,4.25,0,0,0,0,0,52.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,76,NA,5,495.4116211,"I","1"
"1134",1134,2015,"TU-ZAAMAR","SHUVUU SUUDAG","TU-Zaamar / Shuvuu suudag","I","Sandy loam",8,1,1.1,1,"Yes","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,3.5,0,3.5,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.25,NA,4,227.8053131,"I","1"
"1135",1135,2015,"TU-ZUUNMOD","ANTENTAI UUL","TU-Zuunmod / Antentai uul","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,6.25,1,8.25,1,0.5,11.5,8,8,0,0,0,6.75,8.5,0,0,0,0,0,27,0,11.5,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,64.75,10.25,16,120.602829,"I","1"
"1136",1136,2015,"TU-ZUUNMOD","BARAAT UUL","TU-Zuunmod / Baraat uul","I","Sandy loam",8,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,1,6.25,1.75,6.25,0,11.5,6,6,0,0,0,10.25,8.25,0,0,0,0,0,31.25,1,11.5,0,0,0,0,0.25,0,0,0,0,1.25,0,1.25,0.75,68.75,9,16,459.4107361,"I","1"
"1137",1137,2015,"TU-ZUUNMOD","NOMTIIN AM","TU-Zuunmod / Nomtiin am","IV","Sandy loam",8,3,3.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",2,4,9.75,0,9.75,0,88.5,12.5,12.5,0,0,0,3.25,0.5,0,0,0,0,0,1.25,1,88.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,96.5,1,10,503.6117859,"III","3"
"1138",1138,2015,"TU-ZUUNMOD","ULAAN HUDAG","TU-Zuunmod / Ulaan hudag","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0.5,0.75,0,0.75,0,49.25,39,39,0,0,0,26.25,0,0,0,0,0,0,0.75,0,49.25,1.5,0,0,0,0,0,0,0,0,0,0,0,12.75,85.5,5.5,12,303.2070923,"II","2"
"1139",1139,2015,"UB-BAGANUUR","DIVIZ","UB-Baganuur / Diviz","I","High water table",4,1,1.1,2,"No","Carex-Grass-forbs rangeland in High water table ESG, FS",0,0,0,19,0,0,0,30.75,30.75,0,0,0,13,5,0,0,0,0,0,42.25,0,0,0.25,0,0,1.5,0,0,0,0,0,0,1.5,5.75,0,100,NA,11,167.2039185,"II","2"
"1140",1140,2015,"UB-BAGANUUR","DUND BAIDLAG","UB-Baganuur / Dund baidlag","I","Loamy",2,1,1.2,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,2.5,0,0,0,36.5,36.5,0,0,0,27.75,5.75,0,0,0,0,0,42,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5,15.5,0,100,NA,10,177.2041473,"I","1"
"1141",1141,2015,"UB-BAGANUUR","NARIIN NUUR","UB-Baganuur / Nariin nuur","II","Sandy loam",8,2,2.1,2,"No","STKR- CLSQ- forbs rangeland in Sandy loam alluvial fan ESG, Steppe",0,0,0,2.5,0,0,0,32.25,32.25,0,0,0,19.25,4.25,0,0,0,0,0,47.5,0,0,3.25,0,0,0.75,0,0,0,0,0,0,0.75,11.25,0,100,NA,10,181.2042389,"I","1"
