,YEAR,SITEID,PLOTID,SITE.PLOT,RC_INTERP,ESG,STM,STATE_INTERP,PHASE_INTERP,REFERENCENUM,REFERENCE,ESGEN,ACHNA,ANNUAL,ARAD,ARFRI,BARTEM,CLEIST,CXDU,LEYM,ELCHN,MEADPF,MEADPG,NISB,PPFF,PPGG,SMBPG,STBA,STGBGL,STGR,STIPA,STKR,SRC,DRYLAND CAREX,GOOD ARTEMISIA,HALOPHYTIC SHRUB,HIMTNMEADOWSPP,MEADOW CAREX,OTHER ALLIUM,OTHER CAREX,SHRUB,SUB-SHRUB,TREE,XEROPHYTIC SHRUB,CXPED,POTAC,POTBI,PCT.FOLIAR.COVER,PCT.BARE.SOIL,SPECIES.COUNT,TOTALWTHECTARE
401,2015,DG-HUVSGUL,MELZEN,DG-Huvsgul / Melzen,I,Sandy,16,1,1.1,1,Yes,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0.5,NA,0.75,0,0,NA,0,0,0,0,NA,0.25,1.25,0,0,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,41,55.75,8,91.0021286
402,2015,DG-HUVSGUL,TSAGAAN DUH,DG-Huvsgul / Tsagaan duh,III,Sandy ,16,2,2.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,2,NA,0,0,4.25,NA,0,0,0,0,NA,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,NA,NA,NA,9.25,82,6,47.20110321
403,2015,DG-HUVSGUL,TSAGAAN EREG,DG-Huvsgul / Tsagaan ereg,I,sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,9.5,0,0,0,0,0,0,0,0,0,0.5,0.25,0.75,0,0,0.75,0,0,0,0,0,0,0.75,0,0,1.75,0,0,0,0,3,0,0,0,19.75,74.5,12,56.80133438
404,2015,DG-HUVSGUL,TUGRUG,DG-Huvsgul / Tugrug,I,sandy,16,1,1.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,0.5,0,0,0,0,0.25,0,0,0,0,1.25,0.25,0,0,0,8.25,0,0,0,0,0.25,0,1.5,0,0,0,0,0,0,0,2.5,0,0,0,34.75,64.25,10,99.60233307
405,2015,DG-HUVSGUL,ULAAN BULAG,DG-Huvsgul / Ulaan bulag,III,Sandy ,16,2,2.2,2,No,"STGL/STGO-ALLPO rangeland in Sandy plain ESG , Desert steppe",0,5.25,NA,0,0,0,NA,0,0,0,0,NA,0,1.5,0,0,6.25,0,0,0,0,0,0.25,0,0,0,0.75,0,0,0,0,1.75,NA,NA,NA,15.25,66,11,46.80109787
406,2015,DG-IH HET,DAYANCHIIN HAD,DG-Ih het / dayanchiin had,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,2,0,0,0,0,22,3.75,3.75,0,0,0,0.5,1.25,0,0,0,0,0,7.75,0,22,0,0,0,0,16.5,0,0,0,0,0.5,0,0,0,59.5,30.5,12,288.0067444
407,2015,DG-IH HET,HAR US,DG-Ih het / har us,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,1.75,0.25,0,0.25,0,6.5,0,0,0,0,0,1.5,2.25,0,0,0,0,0,5,0,6.5,0,0,0,0,1.75,0,0,0,0,3.75,0,0,0.25,46.75,37.5,16,314.0073242
408,2015,DG-IH HET,HASHAAT,DG-Ih het / hashaat,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,0,3.5,0,0,23.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,1,23.25,0,0,0,0,0,0,0,0,0,7.25,0,0,0.25,34.75,24.25,7,14.00032711
409,2015,DG-IH HET,OCH,DG-Ih het / och,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,10,0,0.25,0,0,4,0,0,0,0,0,6.25,3,0,0,0,0,0,16.75,0,4,0,0.25,0,0,1,0,0,0,0,0.5,0,0,0,46.5,36.75,17,52.00121689
410,2015,DG-IH HET,ZULEGT,DG-Ih het / Zulegt,IV,Sandy loam,12,3,3.1,2,No,"STKR-STGL/STGO-CLSQ rangeland in Sandy loam covered gravelly plain ESG, Semi desert steppe",0,0,0,1.75,0,0,7.25,0,0,0,0,0,4.25,2,0,0,0,0,0,7.25,0,7.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,52.5,44.75,10,330.0077209
